Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.96159,0,1.81752,7.03862e-06,0.0728135,0,0.111504,8.94937e-08,0.116138,0,1.23285,0,0.0183675,0,0.0876581,0,, , 0.0680358,0.00733546,0.0407669,6.87397,1.56697,1.23285,0,0.000987789,0.0135348,0.00348139,0.00135132,0.00162304,0.0500789,0.0876581,0,0.0585562
2,15.1248,15.1823,11.3425,0.000313513,0.502867,0.506435,3.50293,7.48716e-06,3.68412,3.74162,9.61593,0,0.177042,0.180609,2.63448,6.27179e-09,, , 0.533124,6.59864,0.293982,15.1163,9.97854,9.61593,0,0.0155217,0.20951,0.129148,0.018993,0.00853657,0.640836,2.63448,6.27179e-09,0.920125
3,4.20454,4.22964,7.27796,0.000627027,0.174554,0.175421,2.96286,1.4874e-05,0.890354,0.915458,6.41979,0,0.0709115,0.0717783,1.23333,1.25436e-08,, , 0.228008,1.44982,0.127988,5.23262,3.22802,6.41979,0,0.0293457,0.0925049,0.0417726,0.00841232,0.00755516,0.204585,1.23333,1.25436e-08,1.73961
4,6.17834,6.23501,7.7676,0.00125405,0.280181,0.283585,5.65857,2.96476e-05,1.10435,1.16102,6.41679,0,0.137671,0.141075,2.20056,2.50872e-08,, , 0.467627,1.54823,0.249511,8.74862,4.69842,6.41679,0,0.0584488,0.186109,0.0761984,0.0164386,0.0118465,0.284231,2.20056,2.50872e-08,3.46485
5,1.53085,1.5517,7.03732,0.00250811,0.0881557,0.0895672,7.67425,5.91948e-05,0.275144,0.296,5.5015,0,0.0485998,0.0500113,0.760409,5.01743e-08,, , 0.172387,0.307138,0.0916197,6.2831,1.66068,5.5015,0,0.116473,0.0685847,0.024022,0.00600425,0.017688,0.0855392,0.760409,5.01743e-08,6.90454
6,2.44583,2.48986,8.43959,0.00501621,0.151109,0.154189,15.3127,0.000118289,0.449104,0.493132,5.50222,0,0.0971005,0.10018,1.48531,1.00349e-07,, , 0.351717,0.409594,0.180924,11.9572,2.76674,5.50222,0,0.232886,0.138563,0.0467762,0.0119422,0.0313899,0.125166,1.48531,1.00349e-07,13.8055
7,0.470049,0.471191,9.5757,0.0170911,0.0297331,0.0300156,49.3732,0.000217583,0.385811,0.386953,0.0132015,6.5021e-06,0.0164073,0.0166899,0.21045,3.58913e-07,, , 0.00998068,0.757676,0.00510665,12.0326,0.287429,0.0132015,6.5021e-06,0.827824,0.0135785,0.0183357,0.0011831,0.107445,0.0520212,0.21045,3.58913e-07,49.0734
8,0.0286215,0.028758,0.0180771,2.08552e-05,0.000539358,0.00054532,0.0602488,2.70741e-07,0.00198545,0.00212195,0.00210621,0,8.75051e-05,9.34666e-05,0.000229628,5.57493e-09,, , 0.00127369,0.00218914,0.000644581,0.0803593,0.0212412,0.00210621,0,0.00101147,7.37299e-05,8.89254e-05,1.83164e-05,0.000321226,0.00074128,0.000229628,5.57493e-09,0.0599602
Total,37.9446,30.1885,53.2762,0.0268379,1.29995,1.23976,84.6562,0.000447436,6.907,6.99631,34.7044,6.5021e-06,0.566187,0.560437,8.61243,5.58914e-07,, , 1.83215,11.0806,0.990543,66.3248,24.208,34.7044,6.5021e-06,1.2825,0.722458,0.339823,0.0643432,0.186405,1.4432,8.61243,5.58914e-07,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.1146,0.00823478,1.51867,18.9363,0.0205729,3.79408
